asset_id,asset_name,asset_group,category,state,district,latitude,longitude,nearest_environment_id,nearest_environment_name,protection_type,environment_type,distance_to_sensitive_area_m,distance_to_sensitive_area_km,relationship,nearest_land_id,nearest_land_name,dist_land_m,dist_land_km,land_relationship,nearest_marine_id,nearest_marine_name,dist_marine_m,dist_marine_km,marine_relationship
OSM_node_11166136463,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.960143,102.908851,001,Banang Water Catchment Forest,Forest Reserve,Land,14726.5,14.73,Outside,001,Banang Water Catchment Forest,14726.5,14.73,Outside,056,Nine Islands Wildlife Reserve,63943.7,63.94,Outside
OSM_node_11752698249,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.837816,102.963701,001,Banang Water Catchment Forest,Forest Reserve,Land,1986.8,1.99,Outside,001,Banang Water Catchment Forest,1986.8,1.99,Outside,056,Nine Islands Wildlife Reserve,73752.9,73.75,Outside
OSM_node_11754633606,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.842273,102.966533,001,Banang Water Catchment Forest,Forest Reserve,Land,2548.4,2.55,Outside,001,Banang Water Catchment Forest,2548.4,2.55,Outside,056,Nine Islands Wildlife Reserve,73896.0,73.9,Outside
OSM_node_11754799911,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.843432,102.972938,001,Banang Water Catchment Forest,Forest Reserve,Land,3181.0,3.18,Outside,001,Banang Water Catchment Forest,3181.0,3.18,Outside,056,Nine Islands Wildlife Reserve,74534.1,74.53,Outside
OSM_node_11754799944,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.847057,102.978531,001,Banang Water Catchment Forest,Forest Reserve,Land,3920.4,3.92,Outside,001,Banang Water Catchment Forest,3920.4,3.92,Outside,030,Pulau Kukup National Park,74688.1,74.69,Outside
OSM_node_11756388290,Unnamed Waterfall,Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.826349,102.967319,001,Banang Water Catchment Forest,Forest Reserve,Land,1829.4,1.83,Outside,001,Banang Water Catchment Forest,1829.4,1.83,Outside,030,Pulau Kukup National Park,73816.6,73.82,Outside
OSM_node_11752751644,Waterfall (1),Core Tourism Asset,Waterfall,Johor,Batu Pahat,1.842562,102.965487,001,Banang Water Catchment Forest,Forest Reserve,Land,2487.4,2.49,Outside,001,Banang Water Catchment Forest,2487.4,2.49,Outside,056,Nine Islands Wildlife Reserve,73775.4,73.78,Outside
OSM_way_692975515,SEA LIFE Malaysia,Core Tourism Asset,Aquarium,Johor,Johor Bahru,1.427712,103.63166,031,Tanjong Piai National Park,State Park,Marine,17421.0,17.42,Outside,004,Gunung Pulai Water Catchment Forest,17595.2,17.6,Outside,031,Tanjong Piai National Park,17421.0,17.42,Outside
OSM_way_285845913,Bangunan Sultan Ibrahim,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.457815,103.761133,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27704.7,27.7,Outside,004,Gunung Pulai Water Catchment Forest,27704.7,27.7,Outside,031,Tanjong Piai National Park,30894.5,30.89,Outside
OSM_node_4226469389,Berjaya Waterfront Food Truck Park,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.469119,103.78196,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,28844.7,28.84,Outside,004,Gunung Pulai Water Catchment Forest,28844.7,28.84,Outside,031,Tanjong Piai National Park,33525.4,33.53,Outside
OSM_node_4234717089,CHSL CH 0,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.394973,103.620292,031,Tanjong Piai National Park,State Park,Marine,14029.8,14.03,Outside,004,Gunung Pulai Water Catchment Forest,19669.1,19.67,Outside,031,Tanjong Piai National Park,14029.8,14.03,Outside
OSM_node_13409743701,Eco Tourism Kampung Sungai Melayu Eco Tourism ( PELANCONGAN) Kampung Sungai Melayu,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.454876,103.691439,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,20998.9,21.0,Outside,004,Gunung Pulai Water Catchment Forest,20998.9,21.0,Outside,031,Tanjong Piai National Park,24354.1,24.35,Outside
OSM_node_11078607495,Elephant rock,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.635804,103.735142,009,Panti Water Catchment Forest,Forest Reserve,Land,17601.3,17.6,Outside,009,Panti Water Catchment Forest,17601.3,17.6,Outside,031,Tanjong Piai National Park,42689.6,42.69,Outside
OSM_node_5462566821,Even here somewhere,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.45658,103.762555,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27913.9,27.91,Outside,004,Gunung Pulai Water Catchment Forest,27913.9,27.91,Outside,031,Tanjong Piai National Park,30960.9,30.96,Outside
OSM_way_1041671494,Forest City Maze,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.333971,103.588049,031,Tanjong Piai National Park,State Park,Marine,7572.6,7.57,Outside,004,Gunung Pulai Water Catchment Forest,24294.3,24.29,Outside,031,Tanjong Piai National Park,7572.6,7.57,Outside
OSM_node_11461074169,GT Karting,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.554301,103.794907,009,Panti Water Catchment Forest,Forest Reserve,Land,24539.6,24.54,Outside,009,Panti Water Catchment Forest,24539.6,24.54,Outside,031,Tanjong Piai National Park,40253.1,40.25,Outside
OSM_way_1550338443,Iskandar Puteri Sign,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.451041,103.652697,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,17606.1,17.61,Outside,004,Gunung Pulai Water Catchment Forest,17606.1,17.61,Outside,031,Tanjong Piai National Park,20904.2,20.9,Outside
OSM_node_4348205089,JB 美乐 面线,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.533,103.793879,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,26858.1,26.86,Outside,004,Gunung Pulai Water Catchment Forest,26858.1,26.86,Outside,031,Tanjong Piai National Park,38650.7,38.65,Outside
OSM_way_883063464,Johor Bahru Night Market,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.506211,103.729023,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,21658.6,21.66,Outside,004,Gunung Pulai Water Catchment Forest,21658.6,21.66,Outside,031,Tanjong Piai National Park,31244.3,31.24,Outside
OSM_node_4087248494,Kampung Sungai Melayu,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.452128,103.692873,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,21287.3,21.29,Outside,004,Gunung Pulai Water Catchment Forest,21287.3,21.29,Outside,031,Tanjong Piai National Park,24285.5,24.29,Outside
OSM_node_3133247377,Little Big Club,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.416707,103.656996,031,Tanjong Piai National Park,State Park,Marine,18726.7,18.73,Outside,004,Gunung Pulai Water Catchment Forest,20453.6,20.45,Outside,031,Tanjong Piai National Park,18726.7,18.73,Outside
OSM_node_5884004387,Monday Night Market,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.516365,103.821307,009,Panti Water Catchment Forest,Forest Reserve,Land,28701.2,28.7,Outside,009,Panti Water Catchment Forest,28701.2,28.7,Outside,031,Tanjong Piai National Park,40021.0,40.02,Outside
OSM_node_11145448105,Permas Go-Kart,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.535978,103.852677,010,Seluyut Water Catchment Forest,Forest Reserve,Land,26038.6,26.04,Outside,010,Seluyut Water Catchment Forest,26038.6,26.04,Outside,031,Tanjong Piai National Park,44128.5,44.13,Outside
OSM_node_11145697605,RUD Karting Medini,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.405086,103.625672,031,Tanjong Piai National Park,State Park,Marine,15210.2,15.21,Outside,004,Gunung Pulai Water Catchment Forest,19093.2,19.09,Outside,031,Tanjong Piai National Park,15210.2,15.21,Outside
OSM_way_621691336,Royal Crown Arch,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.482278,103.722493,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,22654.1,22.65,Outside,004,Gunung Pulai Water Catchment Forest,22654.1,22.65,Outside,031,Tanjong Piai National Park,28949.3,28.95,Outside
OSM_node_11383217664,Sarang Buaya Pasir Gudang,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.442535,103.998521,010,Seluyut Water Catchment Forest,Forest Reserve,Land,30674.3,30.67,Outside,010,Seluyut Water Catchment Forest,30674.3,30.67,Outside,031,Tanjong Piai National Park,54803.7,54.8,Outside
OSM_node_13238212103,Seri Alam tunnel,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.527384,103.853101,010,Seluyut Water Catchment Forest,Forest Reserve,Land,26834.7,26.83,Outside,010,Seluyut Water Catchment Forest,26834.7,26.83,Outside,031,Tanjong Piai National Park,43647.6,43.65,Outside
OSM_node_10914091290,Staircase to heaven,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.334329,103.594296,031,Tanjong Piai National Park,State Park,Marine,8252.3,8.25,Outside,004,Gunung Pulai Water Catchment Forest,24472.4,24.47,Outside,031,Tanjong Piai National Park,8252.3,8.25,Outside
OSM_way_1041724143,Tan Hiok Nee Heritage Walk,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.456637,103.764032,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,28039.0,28.04,Outside,004,Gunung Pulai Water Catchment Forest,28039.0,28.04,Outside,031,Tanjong Piai National Park,31105.8,31.11,Outside
OSM_node_4867399321,Unnamed Attraction,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.417312,103.658723,031,Tanjong Piai National Park,State Park,Marine,18920.4,18.92,Outside,004,Gunung Pulai Water Catchment Forest,20548.2,20.55,Outside,031,Tanjong Piai National Park,18920.4,18.92,Outside
OSM_node_13527850101,Zero Kilometre (0 KM) of Peninsular Malaysia,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.455607,103.761981,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27931.2,27.93,Outside,004,Gunung Pulai Water Catchment Forest,27931.2,27.93,Outside,031,Tanjong Piai National Park,30851.3,30.85,Outside
OSM_node_7033606987,amigos horse riding,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.441447,103.93812,010,Seluyut Water Catchment Forest,Forest Reserve,Land,32045.0,32.05,Outside,010,Seluyut Water Catchment Forest,32045.0,32.05,Outside,031,Tanjong Piai National Park,48304.5,48.3,Outside
OSM_node_5573564221,little india,Core Tourism Asset,Attraction,Johor,Johor Bahru,1.458974,103.763897,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,27867.6,27.87,Outside,004,Gunung Pulai Water Catchment Forest,27867.6,27.87,Outside,031,Tanjong Piai National Park,31224.3,31.22,Outside
OSM_way_1453242624,Stulang Beach,Core Tourism Asset,Beach,Johor,Johor Bahru,1.467494,103.779534,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,28721.1,28.72,Outside,004,Gunung Pulai Water Catchment Forest,28721.1,28.72,Outside,031,Tanjong Piai National Park,33201.6,33.2,Outside
OSM_way_287939603,Unnamed Beach,Core Tourism Asset,Beach,Johor,Johor Bahru,1.315629,103.610244,031,Tanjong Piai National Park,State Park,Marine,9736.2,9.74,Outside,004,Gunung Pulai Water Catchment Forest,27026.8,27.03,Outside,031,Tanjong Piai National Park,9736.2,9.74,Outside
OSM_way_450546873,Unnamed Beach,Core Tourism Asset,Beach,Johor,Johor Bahru,1.463914,103.725981,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,24032.1,24.03,Outside,004,Gunung Pulai Water Catchment Forest,24032.1,24.03,Outside,031,Tanjong Piai National Park,28002.9,28.0,Outside
OSM_relation_13939150,Unnamed Beach,Core Tourism Asset,Beach,Johor,Johor Bahru,1.337977,103.589082,031,Tanjong Piai National Park,State Park,Marine,7818.1,7.82,Outside,004,Gunung Pulai Water Catchment Forest,23905.7,23.91,Outside,031,Tanjong Piai National Park,7818.1,7.82,Outside
OSM_way_397739666,Istana Bukit Serene,Core Tourism Asset,Historic Site (Castle),Johor,Johor Bahru,1.479797,103.726369,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,23162.0,23.16,Outside,004,Gunung Pulai Water Catchment Forest,23162.0,23.16,Outside,031,Tanjong Piai National Park,29108.3,29.11,Outside
OSM_node_10718051505,Dataran Mahkota,Core Tourism Asset,Historic Site (Memorial),Johor,Johor Bahru,1.422618,103.6518,031,Tanjong Piai National Park,State Park,Marine,18680.9,18.68,Outside,004,Gunung Pulai Water Catchment Forest,19583.0,19.58,Outside,031,Tanjong Piai National Park,18680.9,18.68,Outside
OSM_way_1041660109,I❤MALAYSIA,Core Tourism Asset,Historic Site (Memorial),Johor,Johor Bahru,1.332558,103.588419,031,Tanjong Piai National Park,State Park,Marine,7569.7,7.57,Outside,004,Gunung Pulai Water Catchment Forest,24456.0,24.46,Outside,031,Tanjong Piai National Park,7569.7,7.57,Outside
OSM_node_10719628808,Masjid Al-Makmur Taman Kobena,Core Tourism Asset,Historic Site (Memorial),Johor,Johor Bahru,1.503381,103.696568,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,18938.1,18.94,Outside,004,Gunung Pulai Water Catchment Forest,18938.1,18.94,Outside,031,Tanjong Piai National Park,28467.8,28.47,Outside
OSM_node_12969633801,Nirvana Memorial Center (Skudai),Core Tourism Asset,Historic Site (Memorial),Johor,Johor Bahru,1.525922,103.65626,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,13925.7,13.93,Outside,004,Gunung Pulai Water Catchment Forest,13925.7,13.93,Outside,031,Tanjong Piai National Park,27709.4,27.71,Outside
OSM_node_8175332117,Nirvana Memorial Park Tiram Johor,Core Tourism Asset,Historic Site (Memorial),Johor,Johor Bahru,1.585234,103.911909,010,Seluyut Water Catchment Forest,Forest Reserve,Land,18192.4,18.19,Outside,010,Seluyut Water Catchment Forest,18192.4,18.19,Outside,031,Tanjong Piai National Park,52642.4,52.64,Outside
OSM_node_12152113915,Datuk Gong,Core Tourism Asset,Historic Site (Wayside Shrine),Johor,Johor Bahru,1.510989,103.650217,004,Gunung Pulai Water Catchment Forest,Forest Reserve,Land,14328.1,14.33,Outside,004,Gunung Pulai Water Catchment Forest,14328.1,14.33,Outside,031,Tanjong Piai National Park,25955.3,25.96,Outside
