asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_way_809917440,Muzium Tokoh Johor,,,Museum,tourism=museum,way,809917440,1.472256,103.765407,Johor,01,Johor Bahru,02,https://www.ywj.gov.my/muzium-tokoh-johor/,,,,
OSM_node_13565867809,新山南方大学学院文物与艺术馆,,,Museum,tourism=museum,node,13565867809,1.533673,103.681902,Johor,01,Johor Bahru,02,https://www.southern.edu.my/zh/mag/,,,,
OSM_node_13565867810,郑良树教授书画珍藏馆,,,Museum,tourism=museum,node,13565867810,1.533756,103.681834,Johor,01,Johor Bahru,02,https://www.southern.edu.my/zh/mag/,,,,
OSM_node_3745589488,Angry Bird,Angry Bird,,Theme Park,tourism=theme_park,node,3745589488,1.463137,103.763377,Johor,01,Johor Bahru,02,,,,,
OSM_node_11676731626,Carton Box Theme Park,Carton Box Theme Park,,Theme Park,tourism=theme_park,node,11676731626,1.486519,103.76112,Johor,01,Johor Bahru,02,https://www.linbaq.com/space-residency,,,,
OSM_way_793463271,La Stella Water Theme Park,,,Theme Park,tourism=theme_park,way,793463271,1.566181,103.720729,Johor,01,Johor Bahru,02,https://starhill-golf.com/water-park/,,Tu-Fr 11:00-19:00;Sa-Su 09:00-19:00,,
OSM_way_192574776,Legoland Malaysia,,,Theme Park,tourism=theme_park,way,192574776,1.42772,103.628863,Johor,01,Johor Bahru,02,https://www.legoland.com.my/,+607 597 8888,09:00-19:00,,
OSM_way_308040667,Legoland Malaysia Waterpark,,,Theme Park,tourism=theme_park,way,308040667,1.425499,103.630384,Johor,01,Johor Bahru,02,,,,,
OSM_node_5995603453,MCM Studio,,,Theme Park,tourism=theme_park,node,5995603453,1.506313,103.716632,Johor,01,Johor Bahru,02,http://mcmstudio.asia/,+607 238 6622,,,
OSM_node_1911019465,Sanrio Hello Kitty Town,,,Theme Park,tourism=theme_park,node,1911019465,1.416838,103.656943,Johor,01,Johor Bahru,02,http://www.playtime.com.my/hello-kitty-town,,,,
OSM_way_1041713047,X Park Malaysia,,,Theme Park,tourism=theme_park,way,1041713047,1.395195,103.624642,Johor,01,Johor Bahru,02,https://www.xparkmalaysia.com/,+6012-426 6913,,,
OSM_node_4467748004,5 Finger Lake,,,Viewpoint,tourism=viewpoint,node,4467748004,1.552641,103.876316,Johor,01,Johor Bahru,02,,,,,
