asset_id,asset_name,category,state,district,lat,lon,nearest_road_name,nearest_road_ref,nearest_road_type,distance_to_road_m,distance_to_road_km,nearest_motorway_name,distance_to_motorway_km,nearest_trunk_name,distance_to_trunk_km,road_access_tier
OSM_way_1041660109,I❤MALAYSIA,Historic Site (Memorial),Johor,Johor Bahru,1.332558,103.588419,Jalan Forest City Selatan,,Primary,511.4,0.511,Lebuhraya Hubungan Kedua,4.628,Lebuhraya Tanjung Pelepas,4.798,Good Access
OSM_node_10719628808,Masjid Al-Makmur Taman Kobena,Historic Site (Memorial),Johor,Johor Bahru,1.503381,103.696568,Lebuhraya Pasir Gudang,17,Trunk,217.4,0.217,Lebuhraya Pasir Gudang,2.421,Lebuhraya Pasir Gudang,0.217,Very Close
OSM_node_12969633801,Nirvana Memorial Center (Skudai),Historic Site (Memorial),Johor,Johor Bahru,1.525922,103.65626,Jalan Gelang Patah,J4,Primary,57.4,0.057,Lebuhraya Pasir Gudang,4.254,Lebuhraya Skudai,1.355,Direct Access
OSM_node_8175332117,Nirvana Memorial Park Tiram Johor,Historic Site (Memorial),Johor,Johor Bahru,1.585234,103.911909,Senai–Desaru Expressway,E22,Motorway,1315.2,1.315,Senai–Desaru Expressway,1.315,Jalan Kota Tinggi,10.199,Limited Access
OSM_node_12152113915,Datuk Gong,Historic Site (Wayside Shrine),Johor,Johor Bahru,1.510989,103.650217,Jalan Sutera Danga,,Primary,1036.2,1.036,Lebuhraya Hubungan Kedua (Laluan Pontian–Taman Johor Bahru),2.998,Lebuhraya Skudai,2.91,Limited Access
OSM_node_13229928798,Unnamed Historic Site (Wayside Shrine),Historic Site (Wayside Shrine),Johor,Johor Bahru,1.522596,103.855393,Jalan Masai Lama,J10,Primary,2063.5,2.063,Senai–Desaru Expressway,5.596,Lebuhraya Pasir Gudang,2.101,Low Access
OSM_way_1383693100,Galeri Penjara Ayer Molek,Museum,Johor,Johor Bahru,1.463176,103.756776,Jalan Tun Abdul Razak,1,Trunk,477.5,0.477,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,1.53,Jalan Tun Abdul Razak,0.478,Very Close
OSM_way_285861174,Istana Besar,Museum,Johor,Johor Bahru,1.455045,103.756438,Jalan Ismail Sultan,J1,Primary,68.3,0.068,Jalan Stulang Darat,2.081,Pintu Masuk ke JB CIQ (Motosikal),1.254,Direct Access
OSM_node_9590275022,Johor Bahru Chinese Heritage Museum,Museum,Johor,Johor Bahru,1.456024,103.763277,Jalan Ibrahim,,Primary,17.8,0.018,Jalan Stulang Darat,1.544,Pintu Masuk ke JB CIQ (Motosikal),0.486,Direct Access
OSM_node_5253879660,Kite Museum Pasir Gudang,Museum,Johor,Johor Bahru,1.474044,103.906061,Jalan Besar,,Primary,224.5,0.225,Lebuhraya Senai Desaru,6.043,Lebuhraya Pasir Gudang,1.62,Very Close
OSM_node_6746284985,Kwong Siew Heritage Gallery,Museum,Johor,Johor Bahru,1.459075,103.766265,Jalan Tun Abdul Razak,1,Primary,12.0,0.012,Jalan Stulang Darat,1.103,Pintu Masuk ke JB CIQ (Motosikal),0.105,Direct Access
OSM_way_809917440,Muzium Tokoh Johor,Museum,Johor,Johor Bahru,1.472256,103.765407,Jalan Lingkaran Dalam,188,Trunk,33.3,0.033,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,0.594,Jalan Lingkaran Dalam,0.033,Direct Access
OSM_node_13565867809,新山南方大学学院文物与艺术馆,Museum,Johor,Johor Bahru,1.533673,103.681902,Jalan Kempas Lama,J105,Primary,518.0,0.518,Lebuhraya Utara–Selatan,3.111,Lebuhraya Skudai,1.069,Good Access
OSM_node_13565867810,郑良树教授书画珍藏馆,Museum,Johor,Johor Bahru,1.533756,103.681834,Jalan Kempas Lama,J105,Primary,528.6,0.529,Lebuhraya Utara–Selatan,3.11,Lebuhraya Skudai,1.072,Good Access
OSM_node_3745589488,Angry Bird,Theme Park,Johor,Johor Bahru,1.463137,103.763377,Jalan Tun Abdul Razak,1,Primary,36.0,0.036,Jalan Stulang Darat,0.904,Pintu Masuk ke JB CIQ (Motosikal),0.182,Direct Access
OSM_node_11676731626,Carton Box Theme Park,Theme Park,Johor,Johor Bahru,1.486519,103.76112,Jalan Tebrau,3,Trunk,526.5,0.526,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,2.177,Jalan Tebrau,0.527,Good Access
OSM_way_793463271,La Stella Water Theme Park,Theme Park,Johor,Johor Bahru,1.566181,103.720729,Jalan Seelong–Kempas,J105,Primary,437.6,0.438,Lebuhraya Utara–Selatan,1.848,Lebuhraya Pasir Gudang,4.804,Very Close
OSM_way_192574776,Legoland Malaysia,Theme Park,Johor,Johor Bahru,1.42772,103.628863,Lebuhraya Pesisir Pantai Iskandar,52,Trunk,277.9,0.278,Lebuhraya Hubungan Kedua,2.363,Lebuhraya Pesisir Pantai Iskandar,0.278,Very Close
OSM_way_308040667,Legoland Malaysia Waterpark,Theme Park,Johor,Johor Bahru,1.425499,103.630384,Lebuhraya Pesisir Pantai Iskandar,52,Trunk,533.7,0.534,Lebuhraya Hubungan Kedua,2.653,Lebuhraya Pesisir Pantai Iskandar,0.534,Good Access
OSM_node_5995603453,MCM Studio,Theme Park,Johor,Johor Bahru,1.506313,103.716632,Jalan Tampoi,3374,Primary,220.1,0.22,Lebuhraya Utara–Selatan,4.338,Lebuhraya Pasir Gudang,0.589,Very Close
OSM_node_1911019465,Sanrio Hello Kitty Town,Theme Park,Johor,Johor Bahru,1.416838,103.656943,Lebuh Kota Iskandar,,Trunk,1219.1,1.219,Lebuhraya Hubungan Kedua,5.601,Lebuh Kota Iskandar,1.219,Limited Access
OSM_way_1041713047,X Park Malaysia,Theme Park,Johor,Johor Bahru,1.395195,103.624642,Unnamed Primary,,Primary,418.4,0.418,Lebuhraya Hubungan Kedua,2.96,Lebuh Kota Iskandar,2.794,Very Close
OSM_node_4467748004,5 Finger Lake,Viewpoint,Johor,Johor Bahru,1.552641,103.876316,Senai–Desaru Expressway,E22,Motorway,2062.1,2.062,Senai–Desaru Expressway,2.062,Lebuhraya Pasir Gudang,6.099,Low Access
OSM_node_6246377787,Asrama Kebajikan Ar Rayyan,Viewpoint,Johor,Johor Bahru,1.576567,103.719006,Jalan Seelong–Kempas,J105,Primary,152.9,0.153,Lebuhraya Utara–Selatan,2.972,Lebuhraya Pasir Gudang,5.946,Very Close
OSM_node_12071306508,Intake Sg Tiram,Viewpoint,Johor,Johor Bahru,1.584117,103.894104,Senai–Desaru Expressway,E22,Motorway,1062.8,1.063,Senai–Desaru Expressway,1.063,Jalan Kota Tinggi,8.255,Limited Access
OSM_node_2031222784,Legoland Malaysia Signboard,Viewpoint,Johor,Johor Bahru,1.424604,103.630479,Lebuh Kota Iskandar,,Trunk,471.9,0.472,Lebuhraya Hubungan Kedua,2.727,Lebuh Kota Iskandar,0.472,Very Close
OSM_node_6813433886,MMHE-Malaysia Marine Heavy Engineering,Viewpoint,Johor,Johor Bahru,1.455138,103.880012,Jalan Pekeliling,,Primary,516.4,0.516,Lebuhraya Senai Desaru,9.023,Lebuhraya Pasir Gudang,1.28,Good Access
OSM_node_7083277904,Pantai Stulang,Viewpoint,Johor,Johor Bahru,1.465002,103.776471,Jalan Lingkaran Dalam,188,Trunk,423.2,0.423,Johor Bahru Eastern Dispersal Link Expressway,0.591,Jalan Lingkaran Dalam,0.423,Very Close
OSM_node_10269561758,Shell town,Viewpoint,Johor,Johor Bahru,1.523414,103.84895,Jalan Masai Lama,J10,Primary,1932.5,1.933,Senai–Desaru Expressway,5.482,Lebuhraya Pasir Gudang,1.951,Limited Access
OSM_node_10269581323,Unnamed Viewpoint,Viewpoint,Johor,Johor Bahru,1.515561,103.842805,Jalan Masai Lama,J10,Primary,897.1,0.897,Senai–Desaru Expressway,6.284,Lebuhraya Pasir Gudang,0.915,Good Access
OSM_node_11048916302,Unnamed Viewpoint,Viewpoint,Johor,Johor Bahru,1.595455,103.783648,Senai–Desaru Expressway,E22,Motorway,1430.1,1.43,Senai–Desaru Expressway,1.43,Jalan Kota Tinggi,3.913,Limited Access
OSM_node_11911658572,Unnamed Viewpoint,Viewpoint,Johor,Johor Bahru,1.517038,103.847103,Jalan Masai Lama,J10,Primary,1197.3,1.197,Senai–Desaru Expressway,6.165,Lebuhraya Pasir Gudang,1.215,Limited Access
OSM_node_13229928797,Unnamed Viewpoint,Viewpoint,Johor,Johor Bahru,1.52086,103.85649,Jalan Masai Lama,J10,Primary,1915.5,1.915,Senai–Desaru Expressway,5.792,Lebuhraya Pasir Gudang,1.977,Limited Access
OSM_node_6801058093,rumah datin sarah,Viewpoint,Johor,Johor Bahru,1.469629,103.745972,Jalan Lingkaran Dalam,188,Trunk,357.9,0.358,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,2.608,Jalan Lingkaran Dalam,0.358,Very Close
OSM_way_525508996,Austin Heights Water & Adventure Park,Water Park,Johor,Johor Bahru,1.561648,103.775168,Jalan Mutiara Emas,,Primary,483.7,0.484,Lebuhraya Utara–Selatan,4.419,Lebuhraya Pasir Gudang,2.56,Very Close
OSM_way_1041681086,Forest City Water Park,Water Park,Johor,Johor Bahru,1.333149,103.591916,Jalan Forest City Selatan,,Primary,558.4,0.558,Lebuhraya Hubungan Kedua,4.318,Lebuhraya Tanjung Pelepas,4.989,Good Access
OSM_node_13826205962,Unnamed Water Park,Water Park,Johor,Johor Bahru,1.465388,103.731252,Persiaran Abu Bakar Sultan,J1,Trunk,155.7,0.156,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,4.26,Persiaran Abu Bakar Sultan,0.156,Very Close
OSM_node_10057332542,shrimp pond,Water Park,Johor,Johor Bahru,1.475517,103.942696,Jalan Kota Masai,,Primary,1653.1,1.653,Lebuhraya Senai Desaru,1.965,Lebuhraya Pasir Gudang,5.701,Limited Access
OSM_node_9989741890,Ratu,Waterfall,Johor,Johor Bahru,1.52131,103.850533,Jalan Masai Lama,J10,Primary,1755.8,1.756,Senai–Desaru Expressway,5.721,Lebuhraya Pasir Gudang,1.777,Limited Access
OSM_way_286195752,Zoo Negeri Johor,Zoo,Johor,Johor Bahru,1.45774,103.752884,Jalan Ismail Sultan,J1,Primary,275.0,0.275,Lebuhraya Skim Penyuraian Trafik Johor Bahru Timur,2.199,Jalan Lingkaran Dalam,0.964,Very Close
