asset_id,asset_name,category,state,district,lat,lon,nearest_pt_name,nearest_pt_type,distance_to_pt_m,distance_to_pt_km,nearest_bus_name,distance_to_bus_km,nearest_rail_name,distance_to_rail_km,nearest_ferry_name,distance_to_ferry_km,pt_access_tier
OSM_node_8795669913,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.601813,102.235948,Lata Berkoh,Ferry Terminal,24834.0,24.834,Unnamed Bus Stop,30.526,Teluk Gunung,27.283,Lata Berkoh,24.834,Low Access
OSM_node_8795679703,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.61979,102.226972,Teluk Gunung,Railway / Transit Station,26010.6,26.011,Unnamed Bus Stop,32.719,Teluk Gunung,26.011,Lata Berkoh,26.984,Low Access
OSM_node_8795679734,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.619598,102.226365,Teluk Gunung,Railway / Transit Station,25946.0,25.946,Unnamed Bus Stop,32.742,Teluk Gunung,25.946,Lata Berkoh,27.013,Low Access
OSM_node_12095080043,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.57735,102.290984,Lata Berkoh,Ferry Terminal,18907.3,18.907,Unnamed Bus Stop,24.894,Teluk Gunung,33.811,Lata Berkoh,18.907,Low Access
OSM_node_12095122256,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.553204,102.250905,Lata Berkoh,Ferry Terminal,19880.6,19.881,Unnamed Bus Stop,25.298,Sungai Yu,29.369,Lata Berkoh,19.881,Low Access
OSM_node_12097108802,Unnamed Waterfall,Waterfall,Pahang,Jerantut,4.554543,102.316784,Lata Berkoh,Ferry Terminal,15236.8,15.237,Unnamed Bus Stop,21.319,Sungai Yu,36.674,Lata Berkoh,15.237,Low Access
OSM_node_13425855209,#IM INDERA MAHKOTA Landmark Sign,Attraction,Pahang,Kuantan,3.834524,103.298916,Unnamed Bus Stop,Bus Stop,384.8,0.385,Unnamed Bus Stop,0.385,Unnamed Transit Station,82.035,Jeti Kuala Kemaman,47.688,High Access
OSM_node_4394454695,Gua Charas,Attraction,Pahang,Kuantan,3.91124,103.14735,Pekan Panching,Bus Stop,1737.5,1.738,Pekan Panching,1.738,Unnamed Transit Station,75.802,Jeti Kuala Kemaman,49.135,Limited Access
OSM_node_2166841591,Kuantan River Cruise,Attraction,Pahang,Kuantan,3.798754,103.322939,Unnamed Bus Stop,Bus Stop,169.2,0.169,Unnamed Bus Stop,0.169,Unnamed Transit Station,85.988,Jeti Kuala Kemaman,50.653,High Access
OSM_node_8293109495,Landslide Incident 05 Jan 2020,Attraction,Pahang,Kuantan,3.701948,103.041416,Unnamed Bus Stop,Bus Stop,817.7,0.818,Unnamed Bus Stop,0.818,Kuala Krau,74.931,Unnamed Ferry Terminal,27.986,Moderate Access
