asset_id,asset_name,category,state,district,lat,lon,nearest_healthcare_name,nearest_healthcare_type,distance_to_healthcare_m,distance_to_healthcare_km,nearest_hospital_name,distance_to_hospital_km,nearest_clinic_name,distance_to_clinic_km,nearest_pharmacy_name,distance_to_pharmacy_km,healthcare_access_tier,hospital_access_tier
OSM_node_11528280119,Unnamed Historic Site (Wayside Shrine),Historic Site (Wayside Shrine),Sarawak,Beluru,4.188807,114.038186,Klinik Ibu dan Anak Taman Tunku,Clinic,12762.0,12.762,Miri General Hospital,20.979,Klinik Ibu dan Anak Taman Tunku,12.762,Clover Pharmacy,12.861,Low Access,Limited Emergency Access
OSM_node_11528280120,Unnamed Historic Site (Wayside Shrine),Historic Site (Wayside Shrine),Sarawak,Beluru,4.188819,114.037711,Klinik Ibu dan Anak Taman Tunku,Clinic,12755.2,12.755,Miri General Hospital,20.967,Klinik Ibu dan Anak Taman Tunku,12.755,Clover Pharmacy,12.829,Low Access,Limited Emergency Access
OSM_way_1240784361,Unnamed Historic Site (Wayside Shrine),Historic Site (Wayside Shrine),Sarawak,Beluru,4.189454,114.037781,Klinik Ibu dan Anak Taman Tunku,Clinic,12686.0,12.686,Miri General Hospital,20.9,Klinik Ibu dan Anak Taman Tunku,12.686,Clover Pharmacy,12.889,Low Access,Limited Emergency Access
OSM_node_6620325701,Bukit Limau,Viewpoint,Sarawak,Beluru,3.698478,114.226854,Klinik Kesihatan Ladang 3,Clinic,42589.3,42.589,Marudi Hospital,54.256,Klinik Kesihatan Ladang 3,42.589,Grateful Pharmacy,52.866,Low Access,Remote Emergency Access
OSM_node_10803259506,Junction to Oil Well,Viewpoint,Sarawak,Beluru,4.201641,114.025505,Klinik Ibu dan Anak Taman Tunku,Clinic,11269.7,11.27,Miri General Hospital,19.339,Klinik Ibu dan Anak Taman Tunku,11.27,Advance Medic Pharmacy (AM),12.312,Low Access,Limited Emergency Access
OSM_node_5490277124,Path continues North,Viewpoint,Sarawak,Beluru,4.203509,114.030464,Klinik Ibu dan Anak Taman Tunku,Clinic,11073.8,11.074,Miri General Hospital,19.221,Klinik Ibu dan Anak Taman Tunku,11.074,Advance Medic Pharmacy (AM),12.291,Low Access,Limited Emergency Access
OSM_node_5490277127,junction,Viewpoint,Sarawak,Beluru,4.202717,114.043659,Klinik Ibu dan Anak Taman Tunku,Clinic,11321.2,11.321,Miri General Hospital,19.611,Klinik Ibu dan Anak Taman Tunku,11.321,Advance Medic Pharmacy (AM),12.943,Low Access,Limited Emergency Access
OSM_node_5490305724,junction,Viewpoint,Sarawak,Beluru,4.202597,114.029587,Klinik Ibu dan Anak Taman Tunku,Clinic,11170.8,11.171,Miri General Hospital,19.304,Klinik Ibu dan Anak Taman Tunku,11.171,Advance Medic Pharmacy (AM),12.354,Low Access,Limited Emergency Access
OSM_node_5490305725,junction to Nibong Waterfall,Viewpoint,Sarawak,Beluru,4.203921,114.034533,Klinik Ibu dan Anak Taman Tunku,Clinic,11057.7,11.058,Miri General Hospital,19.259,Klinik Ibu dan Anak Taman Tunku,11.058,Advance Medic Pharmacy (AM),12.41,Low Access,Limited Emergency Access
OSM_node_5490277125,main junction,Viewpoint,Sarawak,Beluru,4.202427,114.030783,Klinik Ibu dan Anak Taman Tunku,Clinic,11195.1,11.195,Miri General Hospital,19.345,Klinik Ibu dan Anak Taman Tunku,11.195,Advance Medic Pharmacy (AM),12.416,Low Access,Limited Emergency Access
