state,year,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,accommodation_rooms,accommodation_establishments,aor_pct,domestic_visitors_yoy_pct,international_hotel_guests_yoy_pct,receipts_yoy_pct,accommodation_rooms_yoy_pct,accommodation_establishments_yoy_pct,aor_change_pp
W.P. KUALA LUMPUR,2024,26982.957,12129440.0,14077.6575426553,63973.0,464.0,62.6,0.21366393550240503,0.39390331633298015,0.2803312899040262,0.05094296228150874,0.03571428571428581,3.5
W.P. KUALA LUMPUR,2025,35059.9331815272,13383492.0,16906.1917737811,66133.0,479.0,66.9,0.2993362136524622,0.10338910947249014,0.20092364248493344,0.03376424429056013,0.032327586206896575,4.300000000000004
W.P. LABUAN,2019,523.870253076909,75447.0,392.041823742652,2282.0,50.0,42.2,,,,,,
W.P. LABUAN,2020,107.53,,60.4403354573022,,,,-0.7947392520028931,,-0.8458319194612842,,,
W.P. LABUAN,2021,53.899,,29.3567028857768,,,,-0.498753836138752,,-0.5142862351166844,,,
W.P. LABUAN,2022,243.695,31025.0,136.293553416743,2284.0,47.0,35.3,3.521326926288057,,3.6426723718615097,,,
W.P. LABUAN,2023,331.36,77075.0,194.06416029947,2272.0,49.0,33.3,0.3597324524508094,1.484286865431104,0.42386896103649563,-0.005253940455341555,0.042553191489361764,-2.0
W.P. LABUAN,2024,449.63,51978.0,264.562838161687,2296.0,50.0,37.0,0.3569229840656687,-0.3256179046383393,0.3632751032103354,0.010563380281690238,0.020408163265306145,3.700000000000003
W.P. LABUAN,2025,604.37,55107.0,379.287242159903,2298.0,50.0,46.9,0.3441496341436292,0.06019854553849702,0.4336376370747217,0.0008710801393727596,0.0,9.899999999999999
W.P. PUTRAJAYA,2019,1948.88921750046,178498.0,848.614172331753,1496.0,13.0,64.2,,,,,,
W.P. PUTRAJAYA,2020,451.113,,141.909764036477,,,,-0.7685281462131679,,-0.8327746947160346,,,
W.P. PUTRAJAYA,2021,223.006,,67.8552214172023,,,,-0.5056537940604682,,-0.5218424759006677,,,
W.P. PUTRAJAYA,2022,1305.808,56610.0,455.990707978533,1843.0,9.0,51.2,4.855483708958503,,5.720053349688616,,,
W.P. PUTRAJAYA,2023,1900.379,151626.0,669.729015248793,2508.0,12.0,55.0,0.45532804210113587,1.6784313725490194,0.4687339095522145,0.3608247422680413,0.33333333333333326,3.799999999999997
W.P. PUTRAJAYA,2024,2556.836,221593.0,936.976148978471,2580.0,13.0,56.5,0.3454347790624923,0.461444607125427,0.39903771173838165,0.028708133971291794,0.08333333333333326,1.5
W.P. PUTRAJAYA,2025,3146.484,222220.0,1235.86095269889,2656.0,15.0,62.6,0.23061627730523204,0.0028295117625556365,0.31898870002857094,0.029457364341085368,0.15384615384615374,6.100000000000001
